Date,Open Price,Close Price,High Price,Low Price,Volume
16-Jul-2015,2110.55,2124.29,2124.42,2110.55,2173703680
17-Jul-2015,2126.80,2126.64,2128.91,2119.88,2187397376
20-Jul-2015,2126.85,2128.28,2132.82,2123.65,2008421632
21-Jul-2015,2127.55,2119.21,2128.49,2115.40,2168876544
22-Jul-2015,2118.21,2114.15,2118.51,2110.00,2530212352
23-Jul-2015,2114.16,2102.15,2116.87,2098.63,2418980352
24-Jul-2015,2102.24,2079.65,2106.01,2077.09,2441280512
27-Jul-2015,2078.19,2067.64,2078.19,2063.52,2461333760
28-Jul-2015,2070.75,2093.25,2095.60,2069.09,2504698112
29-Jul-2015,2094.70,2108.57,2110.60,2094.08,2388196352
30-Jul-2015,2106.78,2108.63,2110.48,2094.97,2116245248
31-Jul-2015,2111.60,2103.84,2114.24,2102.07,2200598016
03-Aug-2015,2104.49,2098.04,2105.70,2087.31,2122020096
04-Aug-2015,2097.68,2093.32,2102.51,2088.60,2201848576
05-Aug-2015,2095.27,2099.84,2112.66,2095.27,2451080960
06-Aug-2015,2100.75,2083.56,2103.32,2075.53,2573690624
07-Aug-2015,2082.61,2077.57,2082.61,2067.91,2101739264
10-Aug-2015,2080.98,2104.18,2105.35,2080.98,2003912064
11-Aug-2015,2102.66,2084.07,2102.66,2076.49,2169874944
12-Aug-2015,2081.10,2086.05,2089.06,2052.09,2573605632
13-Aug-2015,2086.19,2083.39,2092.93,2078.26,1907866240
14-Aug-2015,2083.15,2091.54,2092.45,2080.61,1674966400
17-Aug-2015,2089.70,2102.44,2102.87,2079.30,1607783296
18-Aug-2015,2101.99,2096.92,2103.47,2094.14,1738962944
19-Aug-2015,2095.69,2079.61,2096.17,2070.53,2170451456
